;Company;Product;Type_Name;Inches;Screen_Resolution;Cpu;RAM;Memory;GPU;OS;Weight;Price
1;Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8GB;128GB SSD;Intel Iris Plus Graphics 640;macOS;1.37kg;1 339.69 EUR
2;Apple;Macbook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.8GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;macOS;1.34kg;898.94 EUR
3;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;No OS;1.86kg;575.00 EUR
4;Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.7GHz;16GB;512GB SSD;AMD Radeon Pro 455;macOS;1.83kg;2 537.45 EUR
5;Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 3.1GHz;8GB;256GB SSD;Intel Iris Plus Graphics 650;macOS;1.37kg;1 803.60 EUR
6;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;500GB HDD;AMD Radeon R5;Windows 10;2.1kg;400.00 EUR
7;Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.2GHz;16GB;256GB Flash Storage;Intel Iris Pro Graphics;Mac OS X;2.04kg;2 139.97 EUR
8;Apple;Macbook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.8GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;macOS;1.34kg;1 158.70 EUR
9;Asus;ZenBook UX430UN;Ultrabook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce MX150;Windows 10;1.3kg;1 495.00 EUR
10;Acer;Swift 3;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;770.00 EUR
11;HP;250 G6;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;No OS;1.86kg;393.90 EUR
12;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.86kg;344.99 EUR
13;Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.8GHz;16GB;256GB SSD;AMD Radeon Pro 555;macOS;1.83kg;2 439.97 EUR
14;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2kg;498.90 EUR
15;Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core M m3 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;macOS;0.92kg;1 262.40 EUR
16;Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;macOS;1.37kg;1 518.55 EUR
17;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2kg;745.00 EUR
18;Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.9GHz;16GB;512GB SSD;AMD Radeon Pro 560;macOS;1.83kg;2 858.00 EUR
19;Lenovo;IdeaPad 320-15IKB;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 940MX;No OS;2.2kg;499.00 EUR
20;Dell;XPS 13;Ultrabook;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD;Intel UHD Graphics 620;Windows 10;1.22kg;979.00 EUR
21;Asus;Vivobook E200HA;Netbook;11.6;1366x768;Intel Atom x5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;0.98kg;191.90 EUR
22;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;999.00 EUR
23;HP;255 G6;Notebook;15.6;1366x768;AMD E-Series E2-9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;No OS;1.86kg;258.00 EUR
24;Dell;Inspiron 5379;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.62kg;819.00 EUR
25;HP;15-BS101nv (i7-8550U/8GB/256GB/FHD/W10);Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.91kg;659.00 EUR
26;Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.3kg;418.64 EUR
27;Apple;MacBook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.6GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;Mac OS X;1.35kg;1 099.00 EUR
28;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;800.00 EUR
29;Dell;Latitude 5590;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;8GB;256GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1.88kg;1 298.00 EUR
30;HP;ProBook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5kg;896.00 EUR
31;Chuwi;"LapBook 15.6""";Notebook;15.6;Full HD 1920x1080;Intel Atom x5-Z8300 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics;Windows 10;1.89kg;244.99 EUR
32;Asus;E402WA-GA010T (E2-6110/2GB/32GB/W10);Notebook;14;1366x768;AMD E-Series E2-6110 1.5GHz;2GB;32GB Flash Storage;AMD Radeon R2;Windows 10;1.65kg;199.00 EUR
33;HP;17-ak001nv (A6-9220/4GB/500GB/Radeon;Notebook;17.3;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4GB;500GB HDD;AMD Radeon 530;Windows 10;2.71kg;439.00 EUR
34;Dell;XPS 13;Ultrabook;13.3;Touchscreen / Quad HD+ 3200x1800;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;1 869.00 EUR
35;Apple;MacBook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.6GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;Mac OS X;1.35kg;998.00 EUR
36;Lenovo;IdeaPad 120S-14IAP;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.44kg;249.00 EUR
37;Acer;Aspire 3;Notebook;15.6;1366x768;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Intel HD Graphics 620;Linux;2.1kg;367.00 EUR
38;Dell;Inspiron 5770;Notebook;17.3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8kg;979.00 EUR
39;HP;250 G6;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.86kg;488.69 EUR
40;HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 930MX ;Windows 10;2.1kg;879.00 EUR
41;Asus;X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux);Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 620;Linux;2kg;389.00 EUR
42;Dell;Inspiron 7577;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.65kg;1 499.00 EUR
43;Asus;X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Linux;2.3kg;522.99 EUR
44;Acer;Aspire A515-51G;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.2kg;682.00 EUR
45;Dell;Inspiron 7773;2 in 1 Convertible;17.3;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;12GB;1TB HDD;Nvidia GeForce 150MX;Windows 10;2.77kg;999.00 EUR
46;Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.0GHz;8GB;256GB SSD;Intel Iris Graphics 540;macOS;1.37kg;1 419.00 EUR
47;Lenovo;IdeaPad 320-15ISK;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;No OS;2.2kg;369.00 EUR
48;Asus;Rog Strix;Gaming;17.3;Full HD 1920x1080;AMD Ryzen 1700 3GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2kg;1 299.00 EUR
49;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.3kg;639.00 EUR
50;Asus;X751NV-TY001T (N4200/4GB/1TB/GeForce;Notebook;17.3;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8kg;466.00 EUR
51;Lenovo;Yoga Book;2 in 1 Convertible;10.1;IPS Panel Touchscreen 1920x1200;Intel Atom x5-Z8550 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics 400;Android;0.69kg;319.00 EUR
52;Acer;Aspire A515-51G;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce MX150;Windows 10;2.2kg;841.00 EUR
53;HP;255 G6;Notebook;15.6;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4GB;256GB SSD;AMD Radeon R4 Graphics;Windows 10;1.86kg;398.49 EUR
54;HP;ProBook 430;Notebook;13.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49kg;1 103.00 EUR
55;Acer;Aspire 3;Notebook;15.6;1366x768;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.4kg;384.00 EUR
56;Dell;Inspiron 3576;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 520;Windows 10;2.13kg;767.80 EUR
57;HP;15-bs002nv (i3-6006U/4GB/128GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.91kg;439.00 EUR
